iter	Passed	Remaining
0	1	159
1	3	151
2	4	145
3	6	144
4	7	139
5	8	132
6	9	127
7	10	123
8	12	121
9	13	120
10	14	114
11	15	110
12	15	106
13	17	105
14	17	101
15	18	98
16	19	96
17	20	94
18	21	92
19	22	89
20	23	87
21	24	85
22	24	83
23	25	81
24	26	79
25	27	77
26	28	76
27	28	74
28	29	72
29	30	70
30	31	69
31	31	67
32	32	65
33	33	64
34	35	65
35	35	63
36	36	61
37	37	60
38	37	58
39	38	57
40	39	56
41	39	55
42	40	53
43	41	52
44	42	51
45	42	50
46	43	48
47	43	47
48	44	46
49	45	45
50	46	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
